Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean
1928.54,-0.07,-0.19
1928.63,-0.04,-0.22
1928.71,0.02,-0.18
1928.79,-0.05,-0.17
1928.88,0.08,-0.09
1928.96,-0.05,-0.18
1929.04,-0.28,-0.46
1929.13,-0.52,-0.60
1929.21,-0.35,-0.31
1929.29,-0.44,-0.40
1929.38,-0.42,-0.39
1929.46,-0.44,-0.41
1929.54,-0.38,-0.33
1929.63,-0.37,-0.30
1929.71,-0.20,-0.22
1929.79,0.01,-0.13
1929.88,-0.04,-0.12
1929.96,-0.61,-0.54
1930.04,-0.21,-0.30
1930.13,-0.21,-0.27
1930.21,-0.07,-0.09
1930.29,-0.22,-0.24
1930.38,-0.15,-0.23
1930.46,-0.22,-0.20
1930.54,-0.21,-0.20
1930.63,-0.16,-0.12
1930.71,-0.11,-0.11
1930.79,-0.28,-0.09
1930.88,0.09,0.15
1930.96,-0.07,-0.07
1931.04,-0.14,-0.10
1931.13,-0.29,-0.24
1931.21,-0.05,-0.08
1931.29,-0.30,-0.22
1931.38,-0.18,-0.20
1931.46,-0.09,-0.08
1931.54,0.06,-0.03
1931.63,0.08,-0.03
1931.71,-0.16,-0.07
1931.79,0.04,0.02
1931.88,-0.17,-0.11
1931.96,0.06,-0.10
1932.04,0.33,0.14
1932.13,-0.28,-0.18
1932.21,-0.21,-0.19
1932.29,0.06,-0.06
1932.38,-0.19,-0.19
1932.46,-0.47,-0.30
1932.54,-0.23,-0.24
1932.63,-0.19,-0.23
1932.71,0.05,-0.11
1932.79,0.08,-0.11
1932.88,-0.10,-0.26
1932.96,-0.15,-0.25
1933.04,-0.36,-0.34
1933.13,-0.28,-0.34
1933.21,-0.26,-0.30
1933.29,-0.19,-0.26
1933.38,-0.13,-0.29
1933.46,-0.27,-0.34
1933.54,-0.12,-0.21
1933.63,-0.19,-0.24
1933.71,-0.10,-0.27
1933.79,-0.08,-0.21
1933.88,-0.36,-0.30
1933.96,-0.56,-0.46
1934.04,-0.15,-0.24
1934.13,-0.12,-0.04
1934.21,-0.37,-0.33
1934.29,-0.35,-0.30
1934.38,0.00,-0.11
1934.46,-0.18,-0.16
1934.54,0.00,-0.10
1934.63,0.06,-0.11
1934.71,-0.08,-0.16
1934.79,-0.06,-0.08
1934.88,0.05,0.03
1934.96,0.07,-0.04
1935.04,-0.33,-0.33
1935.13,0.22,0.15
1935.21,0.03,-0.13
1935.29,-0.50,-0.36
1935.38,-0.35,-0.30
1935.46,-0.22,-0.27
1935.54,-0.28,-0.23
1935.63,-0.25,-0.23
1935.71,-0.39,-0.21
1935.79,-0.07,-0.08
1935.88,-0.32,-0.28
1935.96,-0.19,-0.20
1936.04,-0.28,-0.28
1936.13,-0.43,-0.39
1936.21,-0.16,-0.22
